service_id,date,exception_type
70178-1111100-0,20200312,1
70178-1111100-0,20200313,1
70178-1111100-0,20200219,1
70178-1111100-0,20200218,1
70178-1111100-0,20200330,1
70178-1111100-0,20200317,1
70178-1111100-0,20200318,1
70178-1111100-0,20200127,1
70178-1111100-0,20200331,1
70178-1111100-0,20200211,1
70178-1111100-0,20200210,1
70178-1111100-0,20200213,1
70178-1111100-0,20200212,1
70178-1111100-0,20200402,1
70178-1111100-0,20200316,1
70178-1111100-0,20200214,1
70178-1111100-0,20200130,1
70178-1111100-0,20200131,1
70178-1111100-0,20200319,1
70557-0000001-0,20200503,1
70557-0000001-0,20200607,1
70557-0000001-0,20200412,1
70557-0000001-0,20200510,1
70557-0000001-0,20200426,1
70557-0000001-0,20200517,1
70557-0000001-0,20200419,1
70557-0000001-0,20200621,1
70557-0000001-0,20200524,1
70557-0000001-0,20200531,1
70557-0000001-0,20200614,1
70242-1111100-0,20200226,1
70242-1111100-0,20200408,1
70242-1111100-0,20200409,1
70242-1111100-0,20200320,1
70242-1111100-0,20200323,1
70242-1111100-0,20200407,1
70242-1111100-0,20200325,1
70242-1111100-0,20200401,1
70242-1111100-0,20200327,1
70242-1111100-0,20200326,1
70242-1111100-0,20200303,1
70242-1111100-0,20200302,1
70242-1111100-0,20200306,1
70242-1111100-0,20200305,1
70242-1111100-0,20200304,1
70242-1111100-0,20200203,1
70242-1111100-0,20200309,1
70242-1111100-0,20200206,1
70242-1111100-0,20200207,1
70242-1111100-0,20200204,1
70242-1111100-0,20200324,1
70242-1111100-0,20200224,1
70242-1111100-0,20200225,1
70242-1111100-0,20200129,1
70242-1111100-0,20200128,1
70242-1111100-0,20200220,1
70242-1111100-0,20200221,1
70242-1111100-0,20200406,1
70242-1111100-0,20200403,1
70242-1111100-0,20200228,1
70242-1111100-0,20200227,1
70242-1111100-0,20200205,1
70242-1111100-0,20200410,1
70242-1111100-0,20200310,1
70242-1111100-0,20200311,1
70242-1111100-0,20200312,1
70242-1111100-0,20200313,1
70242-1111100-0,20200219,1
70242-1111100-0,20200218,1
70242-1111100-0,20200330,1
70242-1111100-0,20200317,1
70242-1111100-0,20200318,1
70242-1111100-0,20200127,1
70242-1111100-0,20200331,1
70242-1111100-0,20200211,1
70242-1111100-0,20200210,1
70242-1111100-0,20200213,1
70242-1111100-0,20200212,1
70242-1111100-0,20200402,1
70242-1111100-0,20200316,1
70242-1111100-0,20200214,1
70242-1111100-0,20200130,1
70242-1111100-0,20200131,1
70242-1111100-0,20200319,1
705077-1111100-7,20200529,1
705077-1111100-7,20200504,1
705077-1111100-7,20200420,1
705077-1111100-7,20200511,1
705077-1111100-7,20200501,1
705077-1111100-7,20200427,1
705077-1111100-7,20200424,1
705077-1111100-7,20200515,1
705077-1111100-7,20200417,1
705077-1111100-7,20200526,1
705077-1111100-7,20200518,1
705077-1111100-7,20200601,1
705077-1111100-7,20200413,1
705077-1111100-7,20200522,1
705077-1111100-7,20200612,1
705077-1111100-7,20200615,1
705077-1111100-7,20200608,1
705077-1111100-7,20200619,1
705077-1111100-7,20200622,1
705077-1111100-7,20200605,1
705077-1111100-7,20200626,1
705077-1111100-7,20200508,1
701849-1111100-9,20200313,1
701849-1111100-9,20200306,1
701849-1111100-9,20200214,1
701849-1111100-9,20200207,1
701849-1111100-9,20200221,1
701849-1111100-9,20200131,1
701849-1111100-9,20200320,1
701849-1111100-9,20200403,1
701849-1111100-9,20200228,1
701849-1111100-9,20200327,1
701849-1111100-9,20200410,1
7018551-1111100-51,20200310,1
7018551-1111100-51,20200311,1
7018551-1111100-51,20200211,1
7018551-1111100-51,20200127,1
7018551-1111100-51,20200213,1
7018551-1111100-51,20200210,1
7018551-1111100-51,20200227,1
7018551-1111100-51,20200303,1
7018551-1111100-51,20200302,1
7018551-1111100-51,20200312,1
7018551-1111100-51,20200219,1
7018551-1111100-51,20200306,1
7018551-1111100-51,20200305,1
7018551-1111100-51,20200304,1
7018551-1111100-51,20200203,1
7018551-1111100-51,20200309,1
7018551-1111100-51,20200212,1
7018551-1111100-51,20200206,1
7018551-1111100-51,20200226,1
7018551-1111100-51,20200204,1
7018551-1111100-51,20200205,1
7018551-1111100-51,20200224,1
7018551-1111100-51,20200225,1
7018551-1111100-51,20200129,1
7018551-1111100-51,20200128,1
7018551-1111100-51,20200220,1
7018551-1111100-51,20200130,1
7018551-1111100-51,20200131,1
7018551-1111100-51,20200228,1
7018551-1111100-51,20200218,1
7050711-1111100-11,20200611,1
7050711-1111100-11,20200618,1
7050711-1111100-11,20200604,1
7050711-1111100-11,20200625,1
7050711-1111100-11,20200423,1
7050711-1111100-11,20200507,1
7050711-1111100-11,20200430,1
7050711-1111100-11,20200514,1
7050711-1111100-11,20200528,1
7050711-1111100-11,20200416,1
7050711-1111100-11,20200521,1
70185-1111100-0,20200226,1
70185-1111100-0,20200408,1
70185-1111100-0,20200409,1
70185-1111100-0,20200320,1
70185-1111100-0,20200323,1
70185-1111100-0,20200407,1
70185-1111100-0,20200325,1
70185-1111100-0,20200401,1
70185-1111100-0,20200327,1
70185-1111100-0,20200326,1
70185-1111100-0,20200303,1
70185-1111100-0,20200302,1
70185-1111100-0,20200306,1
70185-1111100-0,20200305,1
70185-1111100-0,20200304,1
70185-1111100-0,20200203,1
70185-1111100-0,20200309,1
70185-1111100-0,20200206,1
70185-1111100-0,20200207,1
70185-1111100-0,20200204,1
70185-1111100-0,20200324,1
70185-1111100-0,20200224,1
70185-1111100-0,20200225,1
70185-1111100-0,20200129,1
70185-1111100-0,20200128,1
70185-1111100-0,20200220,1
70185-1111100-0,20200221,1
70185-1111100-0,20200406,1
70185-1111100-0,20200403,1
70185-1111100-0,20200228,1
70185-1111100-0,20200227,1
70185-1111100-0,20200205,1
70185-1111100-0,20200410,1
70185-1111100-0,20200310,1
70185-1111100-0,20200311,1
70185-1111100-0,20200312,1
70185-1111100-0,20200313,1
70185-1111100-0,20200219,1
70185-1111100-0,20200218,1
70185-1111100-0,20200330,1
70185-1111100-0,20200317,1
70185-1111100-0,20200318,1
70185-1111100-0,20200127,1
70185-1111100-0,20200331,1
70185-1111100-0,20200211,1
70185-1111100-0,20200210,1
70185-1111100-0,20200213,1
70185-1111100-0,20200212,1
70185-1111100-0,20200402,1
70185-1111100-0,20200316,1
70185-1111100-0,20200214,1
70185-1111100-0,20200130,1
70185-1111100-0,20200131,1
70185-1111100-0,20200319,1
7024215-1111100-15,20200310,1
7024215-1111100-15,20200311,1
7024215-1111100-15,20200211,1
7024215-1111100-15,20200210,1
7024215-1111100-15,20200213,1
7024215-1111100-15,20200212,1
7024215-1111100-15,20200218,1
7024215-1111100-15,20200303,1
7024215-1111100-15,20200302,1
7024215-1111100-15,20200312,1
7024215-1111100-15,20200313,1
7024215-1111100-15,20200219,1
7024215-1111100-15,20200306,1
7024215-1111100-15,20200305,1
7024215-1111100-15,20200304,1
7024215-1111100-15,20200203,1
7024215-1111100-15,20200309,1
7024215-1111100-15,20200206,1
7024215-1111100-15,20200207,1
7024215-1111100-15,20200204,1
7024215-1111100-15,20200205,1
7024215-1111100-15,20200224,1
7024215-1111100-15,20200225,1
7024215-1111100-15,20200226,1
7024215-1111100-15,20200227,1
7024215-1111100-15,20200220,1
7024215-1111100-15,20200221,1
7024215-1111100-15,20200228,1
7055925-0000001-25,20200525,2
70243-0000010-0,20200208,1
70243-0000010-0,20200307,1
70243-0000010-0,20200215,1
70243-0000010-0,20200201,1
70243-0000010-0,20200328,1
70243-0000010-0,20200222,1
70243-0000010-0,20200321,1
70243-0000010-0,20200314,1
70243-0000010-0,20200404,1
70243-0000010-0,20200229,1
70243-0000010-0,20200411,1
70183-1111100-0,20200226,1
70183-1111100-0,20200408,1
70183-1111100-0,20200409,1
70183-1111100-0,20200320,1
70183-1111100-0,20200323,1
70183-1111100-0,20200407,1
70183-1111100-0,20200325,1
70183-1111100-0,20200401,1
70183-1111100-0,20200327,1
70183-1111100-0,20200326,1
70183-1111100-0,20200303,1
70183-1111100-0,20200302,1
70183-1111100-0,20200306,1
70183-1111100-0,20200305,1
70183-1111100-0,20200304,1
70183-1111100-0,20200203,1
70183-1111100-0,20200309,1
70183-1111100-0,20200206,1
70183-1111100-0,20200207,1
